Abbreviation,Full Form
AACN Clin Issues Crit Care Nurs,AACN Clinical Issues in Critical Care Nursing
AACN Clin Issues,AACN Clinical Issues
AADE Ed J,AADE Editors Journal
AANA J,AANA Journal
AANNT J,AANNT Journal
AAOHN J,AAOHN Journal
AAPPO J,AAPPO Journal
AAPS J,AAPS Journal
AAPS PharmSci,AAPS PharmSci
AARN News Lett,AARN News Letter
Abdom Imaging,Abdominal Imaging
ABNF J,ABNF Journal
Acad Peru Cir,Academia Peruana de Cirugia
Acad Emerg Med,Academic Emergency Medicine
Acad Med,Academic Medicine
Acad Nurse,Academic Nurse
Acad Psychiatry,Academic Psychiatry
Acad Radiol,Academic Radiology
Acad Manage J,Academy of Management Journal
Acad Manage Rev,Academy of Management Review
Acad Rev Calif Acad Periodontol,Academy Review of the California Academy of Periodontology
Acarologia,Acarologia
Accid Anal Prev,Accident Analysis and Prevention
Accid Emerg Nurs,Accident and Emergency Nursing
ACP J Club,ACP Journal Club
Acquis Med Recent,Acquisitions Medicales Recentes
ACRH Rep,ACRH Reports
Across Board NY,Across the Board
ACS Appl Mater Interfaces,ACS Applied Materials and Interfaces
ACS Chem Biol,ACS Chemical Biology
Acta Acad Med Wuhan,Acta Academiae Medicinae Wuhan
Acta Allergol,Acta Allergologica
Acta Anaesthesiol Belg,Acta Anaesthesiologica Belgica
Acta Anaesthesiol Scand,Acta Anaesthesiologica Scandinavica
Acta Anaesthesiol Scand Suppl,Acta Anaesthesiologica Scandinavica. Supplementum
Acta Anaesthesiol Sin,Acta Anaesthesiologica Sinica
Acta Anaesthesiol Taiwan,Acta Anaesthesiologica Taiwanica
Acta Anaesthesiol,Acta Anaesthesiologica
Acta Anat Basel,Acta Anatomica
Acta Anat Suppl Basel,Acta Anatomica. Supplement
Acta Anthropogenet,Acta Anthropogenetica
Acta Belg Med Phys,Acta Belgica. Medica Physica
Acta Biochim Biophys Acad Sci Hung,Acta Biochimica et Biophysica Academiae Scientiarum Hungaricae
Acta Biochim Biophys Hung,Acta Biochimica et Biophysica Hungarica
Acta Biochim Biophys Sin,Acta Biochimica et Biophysica Sinica
Acta Biochim Pol,Acta Biochimica Polonica
Acta Biol Exp Warsz,Acta Biologiae Experimentalis
Acta Biol Acad Sci Hung,Acta Biologica Academiae Scientiarum Hungaricae
Acta Biol Med Ger,Acta Biologica et Medica Germanica
Acta Biol Med Gdansk,Acta Biologica et Medica
Acta Biol Hung,Acta Biologica Hungarica
Acta Biomater,Acta Biomaterialia
Acta Biomed Ateneo Parmense,Acta Bio-Medica de l'Ateneo Parmense
Acta Biotheor,Acta Biotheoretica
Acta Cancerol Lima,Acta Cancerologica
Acta Cardiol,Acta Cardiologica
Acta Cardiol Suppl,Acta Cardiologica. Supplementum
Acta Chem Scand,Acta Chemica Scandinavica
Acta Chem Scand A,"Acta Chemica Scandinavica. Series A, Physical and Inorganic Chemistry"
